NAME,BOARD,TYPE,NAME_AB,ADDRESS_AB,CITY,PROVINCE,GRADES,POSTSECOND,DATA_SOURCE,PROVINCIAL_CODE_NUM,ECS,ELEM,JUNIOR_H,SENIOR_H,PROCESS_DT,POSTAL_COD,STRUCTURE_ID,longitude,latitude,location
Mount Royal University - City Centre Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2021/02/28,T2P3T5,1005439,-114.08031082082235,51.04955283303071,"(51.04955283303071, -114.08031082082235)"
University of Calgary - Main Campus,,Post Secondary,,,Calgary,AB,,Y,Post Secondary Data,,N,N,N,N,2021/02/28,,1383018,-114.13012547930957,51.075406674334126,"(51.075406674334126, -114.13012547930957)"
Alberta Ballet,The Alberta Ballet Company,Private School,Alberta Ballet School,"West Annex, 2nd Floor 906-12 Avenue S.W.",Calgary,AB,Junior High/Senior High,N,Provincial Data,1598,N,N,Y,Y,2021/02/28,T2R1K7,1414534,-114.08205798461157,51.0422510032592,"(51.0422510032592, -114.08205798461157)"
Dr. Oakley,The Calgary School Division,Public School,Dr. Oakley School,3904 - 20 Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9630,N,Y,Y,Y,2021/02/28,T2T4Z9,1382285,-114.10843541386916,51.019272213182916,"(51.019272213182916, -114.10843541386916)"
H. D. Cartwright,The Calgary School Division,Public School,H. D. Cartwright School,5500 Dalhart Road N.W.,Calgary,AB,Junior High,N,Provincial Data,9660,N,N,Y,N,2021/02/28,T3A1V6,1384099,-114.16132737614602,51.11264854046467,"(51.11264854046467, -114.16132737614602)"
Little Angels,Asasa Learning,Private School,Little Angels,599 Northmount Dr NW,Calgary,AB,Unknown,N,Provincial Data,1476,N,N,N,N,2021/02/28,T2K3J6,1374276,-114.08802212217178,51.087173292014754,"(51.087173292014754, -114.08802212217178)"
Prince of Peace,The Calgary Roman Catholic Separate School Division,Separate School,Prince of Peace School,43 Auburn Meadows Blvd SE,Calgary,AB,Elementary/Junior High,N,Provincial Data,2080,N,Y,Y,N,2021/02/28,T3M2C9,2357503,-113.94984207732853,50.89326386813093,"(50.89326386813093, -113.94984207732853)"
Annie Gale,The Calgary School Division,Public School,Annie Gale School,577 Whiteridge Way N.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9686,N,Y,Y,N,2021/02/28,T1Y4S8,1383125,-113.96894283818581,51.08907262467071,"(51.08907262467071, -113.96894283818581)"
North Point School for Boys,North Point School for Boys,Private School,North Point School for Boys,2445 - 23 Avenue SW,Calgary,AB,Unknown,N,Provincial Data,2318,N,N,N,N,2021/02/28,T2T0W3,1374124,-114.11748390737336,51.032556362057925,"(51.032556362057925, -114.11748390737336)"
Asasa Academy,Asasa Learning,Private School,Asasa Academy,599 Northmount Drive N.W.,Calgary,AB,Elementary,N,Provincial Data,1623,N,Y,N,N,2021/02/28,T2K3J6,1374276,-114.08802212217178,51.087173292014754,"(51.087173292014754, -114.08802212217178)"
Delta West Academy,Delta West Academy Society,Private School,Delta West Academy,414 - 11A Street N.E.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,9972,N,Y,Y,Y,2021/02/28,T2E4P3,1000916,-114.03462489686252,51.05510767608769,"(51.05510767608769, -114.03462489686252)"
Evergreen,The Calgary School Division,Public School,Evergreen School,367 Everstone Dr. SW,Calgary,AB,Elementary,N,Provincial Data,1500,N,Y,N,N,2021/02/28,T2Y0L3,1382258,-114.10651983686331,50.91692393582255,"(50.91692393582255, -114.10651983686331)"
Calgary French & International,Calgary French & International School Society,Private School,Calgary French & International School,700 - 77 Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,796,N,Y,Y,Y,2021/02/28,T3H5R1,1381131,-114.19783220636697,51.06789492906019,"(51.06789492906019, -114.19783220636697)"
Haultain Memorial,The Calgary School Division,Public School,Haultain Memorial School,605 Queensland Drive S.E.,Calgary,AB,Elementary,N,Provincial Data,9362,N,Y,N,N,2021/02/28,T2J4S8,1382502,-114.02331873146171,50.93954416895745,"(50.93954416895745, -114.02331873146171)"
Father James Whelihan,The Calgary Roman Catholic Separate School Division,Separate School,Father James Whelihan,70 Sunmills Drive S.E.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8729,N,Y,Y,N,2021/02/28,T2X2R5,1382251,-114.04701940847613,50.90452434869364,"(50.90452434869364, -114.04701940847613)"
F. E. Osborne,The Calgary School Division,Public School,F. E. Osborne School,5315 Varsity Drive N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,9651,N,Y,Y,N,2021/02/28,T3A1A7,1384088,-114.16296501747333,51.09281180223239,"(51.09281180223239, -114.16296501747333)"
A. E. Cross,The Calgary School Division,Public School,A. E. Cross School,3445 - 37 Street S.W.,Calgary,AB,Junior High,N,Provincial Data,9638,N,N,Y,N,2021/02/28,T3E3C2,1382604,-114.14209579694007,51.02324430721721,"(51.02324430721721, -114.14209579694007)"
Sacred Heart Elementary,The Calgary Roman Catholic Separate School Division,Separate School,Sacred Heart Elementary School,1312 - 15 Street S.W.,Calgary,AB,Elementary,N,Provincial Data,8705,N,Y,N,N,2021/02/28,T3C0T6,1382544,-114.09663654839983,51.04092048201376,"(51.04092048201376, -114.09663654839983)"
Our Lady of the Assumption,The Calgary Roman Catholic Separate School Division,Separate School,Our Lady of the Assumption School,7311 - 34 Avenue N.W.,Calgary,AB,Elementary/Junior High,N,Provincial Data,8701,N,Y,Y,N,2021/02/28,T3B1N5,1382148,-114.19135025966536,51.08329961468408,"(51.08329961468408, -114.19135025966536)"
Calgary Academy Collegiate,Calgary Academy Society,Private School,Calgary Academy Collegiate,1677 - 93rd Street S.W.,Calgary,AB,Elementary/Junior High/Senior High,N,Provincial Data,1015,N,Y,Y,Y,2021/02/28,T3H0R3,1382819,-114.2242479372351,51.03943008461902,"(51.03943008461902, -114.2242479372351)"
